Name 1,Name 2
孙文,孫中山
莊子,庄子
伊姆荷太普,印何闐
孙武 (春秋),孙武
理查德·馬修·斯托曼,理查德·斯托曼
神农氏,神农
小布什,乔治·沃克·布什
老布希,乔治·赫伯特·沃克·布什
威廉·杰弗逊·克林顿,比尔·克林顿
图灵,艾伦·图灵
阿兰·图灵,艾伦·图灵
陈水扁,陳水扁
拿破仑,拿破仑一世
光绪皇帝,光绪帝
劉少奇,刘少奇
阿诺·斯瓦辛格,阿诺·施瓦辛格
施瓦辛格,阿诺·施瓦辛格
格瓦拉,切·格瓦拉
阿诺德·阿洛伊斯·施瓦辛格,阿诺·施瓦辛格
阿諾·舒華辛力加,阿诺·施瓦辛格
撒切尔夫人,玛格丽特·撒切尔
玛格利特·希尔达·撒切尔,玛格丽特·撒切尔
艾森豪威尔,德怀特·艾森豪威尔
德怀特·戴维·艾森豪威尔,德怀特·艾森豪威尔
威利·勃兰特,维利·勃兰特
威利·勃朗特,维利·勃兰特
荆柯,荆轲
墨翟,墨子
李耳,老子
孔丘,孔子
虞舜,舜
耶稣诞生,耶稣
重耳,晋文公
夏禹,禹
康熙皇帝,康熙帝
岳飛,岳飞
坂垣征四郎,板垣征四郎
戴卓爾,玛格丽特·撒切尔
谢瓦尔德纳泽,爱德华·谢瓦尔德纳泽
托肯恩,J·R·R·托尔金
托尔金,J·R·R·托尔金
尼克松,理查德·尼克松
吴廷琰,吳廷琰
甘地,圣雄甘地
阿諾舒華辛力加,阿诺·施瓦辛格
亚圣,孟子
德米特里·肖斯塔科维奇,德米特里·德米特里耶维奇·肖斯塔科维奇
肖斯塔科维奇,德米特里·德米特里耶维奇·肖斯塔科维奇
卢武铉,盧武鉉
璞鼎查,砵甸乍
儒略·恺撒大帝,尤利烏斯·凱撒
索额图,索額圖
扁鵲,扁鹊
爱新觉罗福临,顺治帝
爱新觉罗玄烨,康熙帝
爱新觉罗弘历,乾隆帝
爱新觉罗载湉,光绪帝
宣统帝,溥仪
阿拉法特,亚西尔·阿拉法特
拿破崙,拿破仑一世
豐臣秀吉,丰臣秀吉
豊臣秀吉,丰臣秀吉
鸟山明,鳥山明
凯撒,尤利烏斯·凱撒
匈牙利事件,匈牙利十月事件
斯帝芬·金,斯蒂芬·金
卧龙先生,诸葛亮
村上春树,村上春樹
有熊氏,黄帝
帝舜,舜
尤利乌斯·恺撒,尤利烏斯·凱撒
史達林,斯大林
全真七子,北七真
达芬奇,列奥纳多·达·芬奇
吕尚,太公望
德怀特·D·艾森豪威尔,德怀特·艾森豪威尔
乾隆皇帝,乾隆帝
武則天,武则天
J·D·塞林格,杰罗姆·大卫·塞林格
沃尔特·迪斯尼,華特·迪士尼
梅纳德·凯恩斯,约翰·梅纳德·凯恩斯
赵胜,平原君
耶穌基督,耶稣
唐尧,尧
毛澤東,毛泽东
馬殷,马殷
秦邦憲,博古
張作霖,张作霖
林納斯·托瓦茲,林纳斯·托瓦兹
蒋经国,蔣經國
克里,约翰·克里
阿嘉莎·克莉丝蒂,阿加莎·克里斯蒂
莫罕达斯·甘地,圣雄甘地
王國維,王国维
卢泰愚,盧泰愚
全斗焕,全斗煥
罗伯特·李,羅伯特·李
马英九,馬英九
朱厚熜,明世宗
甲骨学四堂,甲骨四堂
鄧小平,邓小平
史提芬·乔布斯,史蒂夫·乔布斯
齐天大圣,孙悟空
燧人,燧人氏
手冢治虫,手塚治虫
里根,罗纳德·里根
理查德·斯特曼,理查德·斯托曼
吕秀莲,呂秀蓮
斯皮尔伯格,斯蒂芬·斯皮尔伯格
莫洛托夫,维亚切斯拉夫·米哈伊洛维奇·莫洛托夫
西哈努克亲王,諾羅敦·西哈努克
倉頡,仓颉
張學良,张学良
维特根斯坦,路德维希·维特根斯坦
西哈努克,諾羅敦·西哈努克
佛郎哥,弗朗西斯科·佛朗哥
裕仁,昭和天皇
耶稣基督,耶稣
漢高祖,刘邦
金太祖,完颜阿骨打
五虎上将,五虎将
